utterance,hedge,L_context1,L_context2,R_context1,function,ID
"for that six weeks , to , to earn the money feed the And where can you get that bloody kind of money , only corner . Yeah , but where can you get a job . Well , that 's it . Where can",kind,DD1,JJ,NN1,propositional,PS007_1994
I know there 's slides cos Stephanie talks about them . Yes . She loves it ! And every kind of building brick and Duplo brick and Lego brick and Stickle brick and things . And plenty,kind,CC,AT1,NN1,propositional,PS01A_1994
"in the sense that people who like to go and see live music do n't people who like that kind of music prefer the dis prefer it in a Yeah . disco context . Yeah . Yeah . Not , not , seeing",kind,VV0,DD1,NN1,propositional,PS02G_1994
"they 're your So it like killed that . But I 'm sure there 's , I 'm sure there s that kind of trade for , you know , a sort of a Bic Biro runner type , you know , that kind of well our",kind,VBZ,DD1,NN1,propositional,PS02G_1994
"boy , Christopher , loves it but he 's a quiet child you see he thrives on that kind of thing . And she , he was always quiet when we were at the erm t twos to threes . And er",kind,II,DD1,NN1,propositional,PS02H_1994
"Rolled , what they call a rolled house . What on earth is a rolled house ? It s a kind of a , a type of mini greenhouse . greenhouses and frames er the prices ! Oh no no",kind,VBZ,AT1,AT1,propositional,PS02H_1994
", yes . Breakfast ah , no . Boiling hot . Ooh . Is it boiling hot ? No , it s just kind of warmish . Have you been to the toilet ? Yes no yes no yes no , no ? Come here . This is",kind,VBZ,JJ,JJ,pragmatic marker,PS02H_1994
not looking happy . Why did n't you want to buy the same one again mum ? Well I just kind of was running round the shop because I was You got the first one you could see . I had to go,kind,PPIS1,RR,VBDZ,pragmatic marker,PS03S_1994
not ? No . No . But them I 'm lucky to have have a job really . Well I mean these were the kind of jobs that were n't replaceable were n't they really ? Well In a slump . yes that 's it,kind,VBDR,AT,NN2,propositional,PS03S_1994
". I mean it 's not , it 's not the same kind of thing that we 've got , it 's a different kind of relationship cos he 's a different kind of person Yeah . but erm it 's good that he kept up",kind,AT1,JJ,NN1,propositional,PS03W_1994
"god they 've got a great big problem with Helena then and what kind of Oh no and what kind of words like different people use At the end of the tape you only get , I think you",kind,CC,DDQ,NN2,propositional,PS03W_1994
