Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,Duration - hh:mm:ss.ms,Anna,Anna backchannel actions,Anna backchannels,Bert,Bert backchannel actions,Bert backchannels,Cassie,Cassie backchannel actions,Cassie backchannels,Doyle,Doyle backchannel actions,Doyle backchannels,Erin,Erin backchannel actions,Erin backchannels,Flo,Flo backchannel actions,Flo backchannels,Gemma,Gemma backchannel actions,Gemma backchannels,Holly,Holly backchannel actions,Holly backchannels,Ike,Ike backchannel actions,Ike backchannels,Turn subtype,Turntype,File
00:00:02,00:00:03,00:00:01,Hello [a2352],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:00:12,00:00:12,00:00:00,,,,,,,okay [a2810],,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:00:20,00:00:21,00:00:00,,,,,,,yeah [a2813],,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:00:36,00:00:37,00:00:02,,,,,,,would you like to start? [a2815],,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:00:40,00:00:42,00:00:02,,,,,,,"so are you -- type one, yeah? [a2818]",,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:00:42,00:00:43,00:00:01,"Uh I'm not, I [a2361]",,,,,,No? [a2819],,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:00:43,00:00:45,00:00:02,I've got I've got a son who's type one. [a2362],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:00:45,00:00:47,00:00:02,"Yeah, uh-huh. [a2363]",,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:00:47,00:00:48,00:00:01,Are -- are you type one? Yeah? [a2364],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:00:50,00:00:52,00:00:01,"nine now, he's [a2366]",,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:00:51,00:00:52,00:00:01,,,,,,,Okay. [a2826],continuer [a3874],okay [a3480],,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:00:53,00:00:54,00:00:01,like last week. [a2368],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:00:54,00:00:55,00:00:01,"Yeah. So he's nine, yeah. [a2369]",,,,,,"Ah, okay, [a2827]",change-of-activity [a3875],ah okay [a3481],,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:01:05,00:01:06,00:00:01,He was diagnosed at [a2373],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:01:08,00:01:11,00:00:03,((x)) almost seven years I think. [a2375],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:01:12,00:01:13,00:00:01,No. [a2376],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:01:17,00:01:18,00:00:02,So you would have known a lot of [a2379],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:01:18,00:01:20,00:00:02,"different, yeah. [a2380]",,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:01:19,00:01:20,00:00:01,"different, yeah. [a2380]",,,,,,yeah [a2841],,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:01:20,00:01:21,00:00:01,,,,,,,Absolutelty. [a2842],,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:01:21,00:01:23,00:00:02,,,,,,,"So does he, is he [a2843]",,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:01:23,00:01:25,00:00:03,,,,,,,"injections, or is he on a pump? [a2844]",,,,,,,,,,,,,,,,,,,,,other [a2343],other [a2334],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:01:43,00:01:44,00:00:02,,,,,,,"um, it's waterproof. [a2855]",,,,,,,,,,,,,,,,,,,,,background [a1614],"story sailing, pump got water damage [a1389]",20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:01:45,00:01:46,00:00:01,,,,,,,uh watersports. [a2857],,,,,,,,,,,,,,,,,,,,,background [a1614],"story sailing, pump got water damage [a1389]",20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:01:50,00:01:50,00:00:01,the medtronic [a2390],,,,,,{LG} [a2860],,,,,,,,,,,,,,,,,,,,,insertion [a1615],"story sailing, pump got water damage [a1389]",20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:01:51,00:01:51,00:00:01,"sixty fourty G is meant to be waterproof, and [a2391]",,,,,,yeah [a2861],continuer [a3883],yeah [a3488],,,,,,,,,,,,,,,,,,,insertion [a1615],"story sailing, pump got water damage [a1389]",20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:01:54,00:01:55,00:00:01,people have said to me it's not that -- wa- +waterproof -- well they wouldn't like to [a2392],,,,,,no [a2864],acknowledgement [a3886],no [a3491],,,,,,,,,,,,,,,,,,,insertion [a1615],"story sailing, pump got water damage [a1389]",20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:01:57,00:01:58,00:00:01,,,,,,,"Yeah, so I [a2865]",,,,,,,,,,,,,,,,,,,,,orientation [a1616],"story sailing, pump got water damage [a1389]",20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:02:01,00:02:02,00:00:01,,,,,,,"one day, and capsized, and then [a2868]",,,,,,,,,,,,,,,,,,,,,complication [a1617],"story sailing, pump got water damage [a1389]",20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:02:02,00:02:04,00:00:02,,,,,,,"got out the water and it was waterlocked, and I was like [a2869]",,,,,,,,,,,,,,,,,,,,,complication [a1617],"story sailing, pump got water damage [a1389]",20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:02:05,00:02:06,00:00:02,,,,,,,Oh my goodness so [a2870],,,,,,,,,,,,,,,,,,,,,evaluation [a1618],"story sailing, pump got water damage [a1389]",20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:02:07,00:02:07,00:00:00,"Yeah, that'd be quite [a2395]",,,,,,"particularly good, yeah. [a2872]",,,,,,,,,,,,,,,,,,,,,evaluation [a1618],"story sailing, pump got water damage [a1389]",20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:02:09,00:02:11,00:00:02,,,,,,,How long's he been on a pump for? [a2873],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:02:11,00:02:12,00:00:01,he got a pump [a2398],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:02:18,00:02:22,00:00:04,"yeah, it was over five years, cause that's how he's just been upgraded to sixty fourty G. [a2401]",,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:02:19,00:02:20,00:00:01,"yeah, it was over five years, cause that's how he's just been upgraded to sixty fourty G. [a2401]",,,,,,yeah [a2875],acknowledgement [a3888],yeah [a3493],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:02:32,00:02:34,00:00:02,good reasons why he should [a2408],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:02:39,00:02:39,00:00:00,"why, he's got no hypo awareness. [a2411]",,,,,,it as well then? Oh that's good. Yeah. [a2883],continuer [a3896],yeah [a3500],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:02:41,00:02:43,00:00:02,"Yeah, so he he sort of [a2412]",,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:02:42,00:02:43,00:00:01,"Yeah, so he he sort of [a2412]",,,,,,yeah [a2885],acknowledgement [a3898],yeah [a3502],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:02:45,00:02:47,00:00:03,,,,,,,"Yeah, really helpful and good for you as well. [a2886]",,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:02:46,00:02:48,00:00:01,Yeah. [a2415],prototypical continuer [a3773],yeah [a3380],,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:02:53,00:02:55,00:00:01,At the sick kids. In [a2418],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:02:55,00:02:56,00:00:01,"Yeah, uh-huh. [a2420]",,,,,,"Okay, brilliant. Yeah. They good? [a2891]",,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:02:58,00:02:59,00:00:02,,,,,,,"That's good, yeah. [a2893]",first assessment [a3900],"that's good, yeah [a3504]",,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:03:04,00:03:05,00:00:01,resources and [a2424],,,,,,yeah [a2894],acknowledgement [a3901],yeah [a3505],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:03:07,00:03:08,00:00:01,"yeah, I think they would like [a2426]",,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:03:07,00:03:08,00:00:01,"yeah, I think they would like [a2426]",,,,,,mm [a2895],acknowledgement [a3902],mm [a3506],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:03:08,00:03:10,00:00:02,people to have more [a2427],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:03:10,00:03:11,00:00:00,"like technology access to more technology, but there isn't [a2428]",,,,,,yeah [a2896],acknowledgement [a3903],yeah [a3507],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:03:18,00:03:19,00:00:01,"the funding available to do that, there has to be a really special [a2431]",,,,,,"yeah, the f- +funding -- yeah, yeah, absolutely. [a2898]",acknowledgement [a3907],yeah [a3751],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:03:23,00:03:24,00:00:01,"yeah, there's I think [a2433]",,,,,,"for a reason, yeah. [a2900]",self-initiated other repair [a3910],for areason [a3511],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:03:24,00:03:27,00:00:02,they said to us there's only like maybe about six [a2434],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:03:27,00:03:28,00:00:01,children that get a C  [a2435],,,,,,okay [a2901],acknowledgement [a3912],okay [a3512],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:03:28,00:03:29,00:00:01,have a C G M. [a2436],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:03:29,00:03:31,00:00:02,,,,,,,"Yeah, mm [a2902]",acknowledgement [a3913],"yeah, mm [a3513]",,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:03:32,00:03:34,00:00:02,libre. Yeah. [a2439],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:03:33,00:03:34,00:00:01,libre. Yeah. [a2439],,,,,,libre. Yeah. Yeah I do [a2903],change-of-activity [a3915],yeah [a3754],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
